feature,definition,group
CREDIT_INCOME_RATIO,AMT_CREDIT / AMT_INCOME_TOTAL,재무 비율
ANNUITY_INCOME_RATIO,AMT_ANNUITY / AMT_INCOME_TOTAL,재무 비율
CREDIT_TERM,AMT_CREDIT / AMT_ANNUITY,재무 비율
DAYS_EMPLOYED_PERCENT,DAYS_EMPLOYED / DAYS_BIRTH,고용 비율
EXT_SOURCE_MEAN,EXT_SOURCE 3종 평균,외부 점수 통계
EXT_SOURCE_MIN,EXT_SOURCE 3종 최솟값,외부 점수 통계
EXT_SOURCE_MAX,EXT_SOURCE 3종 최댓값,외부 점수 통계
EXT_SOURCE_STD,EXT_SOURCE 3종 표준편차,외부 점수 통계
EXT_SOURCE_1_NA,EXT_SOURCE_1 결측 여부,결측 indicator
EXT_SOURCE_2_NA,EXT_SOURCE_2 결측 여부,결측 indicator
EXT_SOURCE_3_NA,EXT_SOURCE_3 결측 여부,결측 indicator
EXT_NOT_NA_COUNT,EXT_SOURCE 비결측 개수,결측 indicator
DAYS_EMPLOYED_ANOM,DAYS_EMPLOYED sentinel 여부,이상값 indicator
