decile,n,default_count,avg_risk_score_percent,actual_default_rate_percent,lift
1,6151,81,11.867239,1.3168590473093806,0.16312342796912152
2,6150,129,19.63146,2.097560975609756,0.25983140520226955
3,6150,205,25.54665,3.3333333333333335,0.41291037260825775
4,6150,193,31.15042,3.138211382113821,0.388740009333628
5,6151,313,36.751072,5.0886034791090875,0.6303411475843831
6,6150,390,42.810825,6.341463414634147,0.785536806425466
7,6150,507,49.46759,8.24390243902439,1.021197848353106
8,6150,612,56.99359,9.951219512195122,1.2326885270061159
9,6150,906,65.952126,14.73170731707317,1.824862427234544
10,6151,1629,79.21827,26.48349861811088,3.2805933847123327
